,delta_t,Length(m),mu,angle(rad),gravity,total_time,period_time,experiment_period_time,Difference
0,0.001,0.38,0.8,0.3490658503988659,9.80665,10.0,1.2887142857143485,1.2994,0.01068571428565157
0,0.0001,0.38,0.8,0.3490658503988659,9.80665,10.0,1.2827714285703444,1.2994,0.01662857142965568
0,0.1,0.38,0.9,0.3490658503988659,9.80665,10.0,,1.2994,
0,0.01,0.38,0.9,0.3490658503988659,9.80665,10.0,1.4499999999999802,1.2994,-0.15059999999998008
0,0.001,0.38,0.9,0.3490658503988659,9.80665,10.0,1.305142857142911,1.2994,-0.005742857142910784
0,0.0001,0.38,0.9,0.3490658503988659,9.80665,10.0,1.2969142857131686,1.2994,0.0024857142868315307
0,0.1,0.35,0.0,0.3490658503988659,9.80665,10.0,1.4000000000000001,1.2122,-0.1878000000000002
0,0.01,0.35,0.0,0.3490658503988659,9.80665,10.0,1.2362499999999792,1.2122,-0.024049999999979255
0,0.001,0.35,0.0,0.3490658503988659,9.80665,10.0,1.1975000000000162,1.2122,0.014699999999983726
0,0.0001,0.35,0.0,0.3490658503988659,9.80665,10.0,1.1962374999988794,1.2122,0.01596250000112054
0,0.1,0.35,0.1,0.3490658503988659,9.80665,10.0,1.4000000000000001,1.2122,-0.1878000000000002
0,0.01,0.35,0.1,0.3490658503988659,9.80665,10.0,1.241249999999979,1.2122,-0.029049999999979148
0,0.001,0.35,0.1,0.3490658503988659,9.80665,10.0,1.1983750000000157,1.2122,0.013824999999984211
0,0.0001,0.35,0.1,0.3490658503988659,9.80665,10.0,1.1969749999988777,1.2122,0.015225000001122257
0,0.1,0.35,0.2,0.3490658503988659,9.80665,10.0,1.4000000000000001,1.2122,-0.1878000000000002
0,0.01,0.35,0.2,0.3490658503988659,9.80665,10.0,1.2371428571428371,1.2122,-0.02494285714283717
0,0.001,0.35,0.2,0.3490658503988659,9.80665,10.0,1.199875000000015,1.2122,0.012324999999985042
0,0.0001,0.35,0.2,0.3490658503988659,9.80665,10.0,1.1983624999988745,1.2122,0.013837500001125491
0,0.1,0.35,0.3,0.3490658503988659,9.80665,10.0,1.4000000000000001,1.2122,-0.1878000000000002
0,0.01,0.35,0.3,0.3490658503988659,9.80665,10.0,1.2499999999999798,1.2122,-0.03779999999997985
0,0.001,0.35,0.3,0.3490658503988659,9.80665,10.0,1.2023750000000135,1.2122,0.009824999999986428
0,0.0001,0.35,0.3,0.3490658503988659,9.80665,10.0,1.2005249999988694,1.2122,0.011675000001130531
0,0.1,0.35,0.4,0.3490658503988659,9.80665,10.0,1.4000000000000001,1.2122,-0.1878000000000002
0,0.01,0.35,0.4,0.3490658503988659,9.80665,10.0,1.272857142857122,1.2122,-0.06065714285712209
0,0.001,0.35,0.4,0.3490658503988659,9.80665,10.0,1.2060000000000115,1.2122,0.006199999999988437
0,0.0001,0.35,0.4,0.3490658503988659,9.80665,10.0,1.2036249999988622,1.2122,0.008575000001137756
0,0.1,0.35,0.5,0.3490658503988659,9.80665,10.0,1.4000000000000001,1.2122,-0.1878000000000002
0,0.01,0.35,0.5,0.3490658503988659,9.80665,10.0,1.3428571428571205,1.2122,-0.1306571428571206
0,0.001,0.35,0.5,0.3490658503988659,9.80665,10.0,1.2108750000000088,1.2122,0.0013249999999911388
0,0.0001,0.35,0.5,0.3490658503988659,9.80665,10.0,1.2078749999988523,1.2122,0.004325000001147661
